partition,prior_role,upstream_index,item_id,source_group_id,staff_spacing_px,estimator_id,staff_sequence_count,representative_page
train,v1-development,339,smb-test-000339,beethoven_sonata01_2,8.923695,region-deskew-horizontal-morphology-v1,4,False
train,v1-development,340,smb-test-000340,beethoven_sonata01_2,8.970899,region-deskew-horizontal-morphology-v1,8,False
train,v1-development,341,smb-test-000341,beethoven_sonata01_2,8.991073,region-deskew-horizontal-morphology-v1,11,True
train,v1-development,407,smb-test-000407,beethoven_sonata02_1,17.967874,region-deskew-horizontal-morphology-v1,8,False
train,v1-development,408,smb-test-000408,beethoven_sonata02_1,17.994305,region-deskew-horizontal-morphology-v1,9,False
train,v1-development,409,smb-test-000409,beethoven_sonata02_1,17.947605,region-deskew-horizontal-morphology-v1,10,False
train,v1-development,410,smb-test-000410,beethoven_sonata02_1,17.856121,region-deskew-horizontal-morphology-v1,2,True
train,v1-development,411,smb-test-000411,beethoven_sonata02_1,17.930644,region-deskew-horizontal-morphology-v1,8,False
train,v1-development,413,smb-test-000413,beethoven_sonata02_1,18.012956,region-deskew-horizontal-morphology-v1,5,False
train,v1-development,414,smb-test-000414,beethoven_sonata02_1,17.966574,region-deskew-horizontal-morphology-v1,10,False
train,v1-development,501,smb-test-000501,beethoven_sonata05_1,17.875366,region-deskew-horizontal-morphology-v1,4,False
train,v1-development,502,smb-test-000502,beethoven_sonata05_1,17.924804,region-deskew-horizontal-morphology-v1,8,True
train,v1-development,503,smb-test-000503,beethoven_sonata05_1,17.889072,region-deskew-horizontal-morphology-v1,2,False
train,v1-development,504,smb-test-000504,beethoven_sonata05_1,17.898823,region-deskew-horizontal-morphology-v1,11,False
train,v1-development,505,smb-test-000505,beethoven_sonata05_1,17.993106,region-deskew-horizontal-morphology-v1,2,False
train,v1-development,321,smb-test-000321,beethoven_sonata07_4,8.978026,region-deskew-horizontal-morphology-v1,12,False
train,v1-development,322,smb-test-000322,beethoven_sonata07_4,8.986780,region-deskew-horizontal-morphology-v1,10,False
train,v1-development,323,smb-test-000323,beethoven_sonata07_4,8.958531,region-deskew-horizontal-morphology-v1,12,False
train,v1-development,324,smb-test-000324,beethoven_sonata07_4,8.982094,region-deskew-horizontal-morphology-v1,9,True
train,v1-development,241,smb-test-000241,beethoven_sonata08_3,8.957048,region-deskew-horizontal-morphology-v1,11,True
train,v1-development,242,smb-test-000242,beethoven_sonata08_3,9.000000,region-deskew-horizontal-morphology-v1,12,False
train,v1-development,243,smb-test-000243,beethoven_sonata08_3,8.870118,region-deskew-horizontal-morphology-v1,6,False
train,v1-development,244,smb-test-000244,beethoven_sonata08_3,8.830600,region-deskew-horizontal-morphology-v1,8,False
train,v1-development,245,smb-test-000245,beethoven_sonata08_3,8.927365,region-deskew-horizontal-morphology-v1,7,False
train,v1-development,246,smb-test-000246,beethoven_sonata08_3,8.940658,region-deskew-horizontal-morphology-v1,3,False
train,v1-development,679,smb-test-000679,beethoven_sonata10_3,9.051114,region-deskew-horizontal-morphology-v1,7,False
train,v1-development,680,smb-test-000680,beethoven_sonata10_3,9.048378,region-deskew-horizontal-morphology-v1,12,False
train,v1-development,681,smb-test-000681,beethoven_sonata10_3,9.078466,region-deskew-horizontal-morphology-v1,13,True
train,v1-development,682,smb-test-000682,beethoven_sonata10_3,9.096765,region-deskew-horizontal-morphology-v1,12,False
train,v1-development,683,smb-test-000683,beethoven_sonata10_3,9.025900,region-deskew-horizontal-morphology-v1,13,False
train,v1-development,684,smb-test-000684,beethoven_sonata10_3,9.024432,region-deskew-horizontal-morphology-v1,12,False
train,v1-development,67,smb-test-000067,beethoven_sonata11_1,8.993568,region-deskew-horizontal-morphology-v1,12,False
train,v1-development,68,smb-test-000068,beethoven_sonata11_1,9.000000,region-deskew-horizontal-morphology-v1,9,False
train,v1-development,70,smb-test-000070,beethoven_sonata11_1,9.001903,region-deskew-horizontal-morphology-v1,9,False
train,v1-development,71,smb-test-000071,beethoven_sonata11_1,9.004967,region-deskew-horizontal-morphology-v1,9,False
train,v1-development,72,smb-test-000072,beethoven_sonata11_1,8.993417,region-deskew-horizontal-morphology-v1,12,False
train,v1-development,73,smb-test-000073,beethoven_sonata11_1,9.005235,region-deskew-horizontal-morphology-v1,7,True
train,v1-development,4,smb-test-000004,beethoven_sonata11_4,8.974551,region-deskew-horizontal-morphology-v1,4,False
train,v1-development,5,smb-test-000005,beethoven_sonata11_4,9.006882,region-deskew-horizontal-morphology-v1,6,True
train,v1-development,6,smb-test-000006,beethoven_sonata11_4,9.005108,region-deskew-horizontal-morphology-v1,9,False
train,v1-development,9,smb-test-000009,beethoven_sonata11_4,8.958810,region-deskew-horizontal-morphology-v1,12,False
train,v1-development,10,smb-test-000010,beethoven_sonata11_4,9.000000,region-deskew-horizontal-morphology-v1,10,False
train,v1-development,11,smb-test-000011,beethoven_sonata11_4,9.000000,region-deskew-horizontal-morphology-v1,12,False
train,v1-development,12,smb-test-000012,beethoven_sonata11_4,9.009076,region-deskew-horizontal-morphology-v1,10,False
train,v1-development,540,smb-test-000540,beethoven_sonata13_1,8.936643,region-deskew-horizontal-morphology-v1,6,False
train,v1-development,541,smb-test-000541,beethoven_sonata13_1,9.000000,region-deskew-horizontal-morphology-v1,7,True
train,v1-development,97,smb-test-000097,beethoven_sonata17_1,8.986865,region-deskew-horizontal-morphology-v1,9,False
train,v1-development,98,smb-test-000098,beethoven_sonata17_1,8.997021,region-deskew-horizontal-morphology-v1,11,False
train,v1-development,99,smb-test-000099,beethoven_sonata17_1,8.995236,region-deskew-horizontal-morphology-v1,11,False
train,v1-development,100,smb-test-000100,beethoven_sonata17_1,8.990807,region-deskew-horizontal-morphology-v1,11,False
train,v1-development,102,smb-test-000102,beethoven_sonata17_1,8.985174,region-deskew-horizontal-morphology-v1,10,True
train,v1-development,581,smb-test-000581,beethoven_sonata21_1,8.968156,region-deskew-horizontal-morphology-v1,11,False
train,v1-development,583,smb-test-000583,beethoven_sonata21_1,8.987553,region-deskew-horizontal-morphology-v1,11,False
train,v1-development,584,smb-test-000584,beethoven_sonata21_1,8.962263,region-deskew-horizontal-morphology-v1,11,False
train,v1-development,585,smb-test-000585,beethoven_sonata21_1,8.983067,region-deskew-horizontal-morphology-v1,12,False
train,v1-development,586,smb-test-000586,beethoven_sonata21_1,8.978369,region-deskew-horizontal-morphology-v1,11,False
train,v1-development,587,smb-test-000587,beethoven_sonata21_1,8.974808,region-deskew-horizontal-morphology-v1,10,False
train,v1-development,588,smb-test-000588,beethoven_sonata21_1,8.975968,region-deskew-horizontal-morphology-v1,12,False
train,v1-development,589,smb-test-000589,beethoven_sonata21_1,8.938744,region-deskew-horizontal-morphology-v1,12,False
train,v1-development,591,smb-test-000591,beethoven_sonata21_1,8.973700,region-deskew-horizontal-morphology-v1,12,False
train,v1-development,592,smb-test-000592,beethoven_sonata21_1,8.982606,region-deskew-horizontal-morphology-v1,12,True
