upstream_index,item_id,source_group_id,staff_spacing_px,estimator_id,staff_sequence_count,selection_rank
282,smb-test-000282,scarlatti_l016k306,10.952297,region-deskew-horizontal-morphology-v1,6,1
195,smb-test-000195,weber_erk076,18.071642,region-deskew-horizontal-morphology-v1,7,2
604,smb-test-000604,beethoven_sonata11_3,8.989691,region-deskew-horizontal-morphology-v1,8,3
432,smb-test-000432,haydn_sonata61_1,10.178018,region-deskew-horizontal-morphology-v1,8,4
139,smb-test-000139,haydn_op77n2_02,8.232380,region-deskew-horizontal-morphology-v1,16,5
436,smb-test-000436,chopin_mazurka24_1,9.448776,region-deskew-horizontal-morphology-v1,11,6
526,smb-test-000526,mozart_sonata03_2,9.790767,region-deskew-horizontal-morphology-v1,13,7
185,smb-test-000185,scarlatti_l304k470,9.992350,region-deskew-horizontal-morphology-v1,9,8
264,smb-test-000264,hummel_prelude67_04,10.061767,region-deskew-horizontal-morphology-v1,3,9
347,smb-test-000347,mozart_sonata09_2,10.188816,region-deskew-horizontal-morphology-v1,4,10
377,smb-test-000377,bach_bwv978_3,16.594612,region-deskew-horizontal-morphology-v1,4,11
219,smb-test-000219,chopin_mazurka07_3,9.273777,region-deskew-horizontal-morphology-v1,12,12
597,smb-test-000597,ravel_sonatine_1,8.514294,region-deskew-horizontal-morphology-v1,6,13
222,smb-test-000222,chopin_mazurka_51,9.535139,region-deskew-horizontal-morphology-v1,12,14
54,smb-test-000054,scarlatti_l056k281,10.795553,region-deskew-horizontal-morphology-v1,10,15
477,smb-test-000477,mozart_sonate_in_es_-_kv_282,6.668306,region-deskew-horizontal-morphology-v1,9,16
405,smb-test-000405,mozart_viennese1_1,10.000000,region-deskew-horizontal-morphology-v1,10,17
327,smb-test-000327,beethoven_sonata10_2,9.082046,region-deskew-horizontal-morphology-v1,10,18
337,smb-test-000337,mozart_sonata08_2,9.883188,region-deskew-horizontal-morphology-v1,4,19
558,smb-test-000558,beethoven_sonata15_3,8.937532,region-deskew-horizontal-morphology-v1,4,20
89,smb-test-000089,mozart_sonate_in_g_-_kv_283,6.525932,region-deskew-horizontal-morphology-v1,9,21
378,smb-test-000378,grieg_op12_2,10.055292,region-deskew-horizontal-morphology-v1,7,22
483,smb-test-000483,mozart_sonate_in_d_-_kv_576,6.782921,region-deskew-horizontal-morphology-v1,13,23
381,smb-test-000381,mozart_sonata03_3,9.856310,region-deskew-horizontal-morphology-v1,10,24
509,smb-test-000509,haydn_op74n3_03,8.065336,region-deskew-horizontal-morphology-v1,9,25
439,smb-test-000439,mozart_sonata04_1,9.878243,region-deskew-horizontal-morphology-v1,11,26
387,smb-test-000387,bach_musical_offering_trio_bwv_1079,8.500000,region-deskew-horizontal-morphology-v1,11,27
488,smb-test-000488,scarlatti_l319k442,10.730234,region-deskew-horizontal-morphology-v1,9,28
494,smb-test-000494,beethoven_sonata02_2,8.961170,region-deskew-horizontal-morphology-v1,6,29
506,smb-test-000506,mozart_viennese6_1,10.242360,region-deskew-horizontal-morphology-v1,12,30
218,smb-test-000218,scarlatti_l053k075,10.238890,region-deskew-horizontal-morphology-v1,10,31
120,smb-test-000120,weber_erk089,18.063163,region-deskew-horizontal-morphology-v1,9,32
332,smb-test-000332,joplin_lilyqueen,10.016260,region-deskew-horizontal-morphology-v1,10,33
210,smb-test-000210,scarlatti_l055k330,10.367703,region-deskew-horizontal-morphology-v1,12,34
662,smb-test-000662,scarlatti_l400k360,10.521314,region-deskew-horizontal-morphology-v1,8,35
232,smb-test-000232,mozart_sonata17_2,10.000000,region-deskew-horizontal-morphology-v1,4,36
676,smb-test-000676,mozart_sonata10_2,10.007674,region-deskew-horizontal-morphology-v1,11,37
251,smb-test-000251,beethoven_sonata09_2,8.959777,region-deskew-horizontal-morphology-v1,9,38
252,smb-test-000252,haydn_sonata53_3,10.121366,region-deskew-horizontal-morphology-v1,14,39
199,smb-test-000199,beethoven_sonata22_1,18.275336,region-deskew-horizontal-morphology-v1,11,40
667,smb-test-000667,chopin_prelude28_23,10.065177,region-deskew-horizontal-morphology-v1,12,41
634,smb-test-000634,haydn_op74n2_03,9.140881,region-deskew-horizontal-morphology-v1,8,42
358,smb-test-000358,mozart_sonata03_1,9.919713,region-deskew-horizontal-morphology-v1,3,43
401,smb-test-000401,joplin_rosebud,10.086992,region-deskew-horizontal-morphology-v1,11,44
276,smb-test-000276,mozart_sonata07_2,10.018530,region-deskew-horizontal-morphology-v1,2,45
