source_group_id,v1_page_count
beethoven_sonata01_2,1
beethoven_sonata02_1,2
beethoven_sonata05_1,1
beethoven_sonata07_4,1
beethoven_sonata08_3,1
beethoven_sonata10_3,1
beethoven_sonata11_1,1
beethoven_sonata11_4,2
beethoven_sonata13_1,1
beethoven_sonata17_1,1
beethoven_sonata21_1,2
beethoven_sonata22_2,1
beethoven_sonata23_3,1
beethoven_sonata28_4,1
chopin_mazurka06_3,1
haydn_erk136a,1
haydn_op74n2_01,1
haydn_op76n1_02,3
haydn_sonata03_4,2
haydn_sonata16_2,1
joplin_augustan,1
joplin_binks,2
joplin_leola,1
joplin_nonpareil,1
joplin_searchlight,1
liszt_etude10_05,1
mozart_divertimento_in_f_-_kv_138_33_right_hand,1
mozart_erk024,1
mozart_quartett_in_a_-_kv_169,1
mozart_quartett_in_b_-_kv_458,2
mozart_quartett_in_c_-_kv_157_41_right_hand,1
mozart_quartett_in_d_-_kv_575,1
mozart_serenade_in_g_-_kv_525,1
mozart_sonata02_1,1
mozart_sonata02_2_left_hand,1
mozart_sonata05_3_right_hand,1
mozart_sonata09_3,1
mozart_sonata10_3_left_hand,1
mozart_sonata11_1b,1
mozart_sonata11_3_left_hand,1
mozart_sonata14_2,2
mozart_sonata15_1,1
mozart_sonata15_2_right_hand,1
mozart_sonata16_3,1
mozart_sonata17_1_left_hand,1
mozart_viennese6_2,1
scarlatti_l003k502,1
scarlatti_l064k148,1
scarlatti_l267k052,1
scarlatti_l336k093,1
scarlatti_l348k244,1
scarlatti_l481k025,2
weber_erk113,2
