review_kind,review_key,item_id,candidate_item_id,review_status,reviewer,reviewed_at,rationale,source_group_id,quality_disposition,suitability_disposition,duplicate_disposition,dataset_licence_status,item_provenance_status,access_status,redistribution_status,figure_reproduction_status
item,smb-test-000000,smb-test-000000,,reviewed,Daniel Reinón García,2026-08-18,Revisión mediante auditoría automática completa y política muestral fijada; página procesada sin incidencia técnica y fuera de la muestra visual. Uso no comercial sujeto a CC BY-NC 4.0 y atribución.,haydn_sonata15_1,acceptable,suitable,distinct,confirmed,unavailable,confirmed,permitted,permitted
item,smb-test-000001,smb-test-000001,,reviewed,Daniel Reinón García,2026-08-18,Revisión mediante auditoría automática completa y política muestral fijada; página procesada sin incidencia técnica y fuera de la muestra visual. Uso no comercial sujeto a CC BY-NC 4.0 y atribución.,haydn_sonata15_1,acceptable,suitable,distinct,confirmed,unavailable,confirmed,permitted,permitted
item,smb-test-000002,smb-test-000002,,reviewed,Daniel Reinón García,2026-08-18,Revisión mediante auditoría automática completa y política muestral fijada; página procesada sin incidencia técnica y fuera de la muestra visual. Uso no comercial sujeto a CC BY-NC 4.0 y atribución.,mozart_sonata06_3k_right_hand,acceptable,suitable,distinct,confirmed,unavailable,confirmed,permitted,permitted
item,smb-test-000003,smb-test-000003,,reviewed,Daniel Reinón García,2026-08-18,Revisión mediante auditoría automática completa y política muestral fijada; página procesada sin incidencia técnica y fuera de la muestra visual. Uso no comercial sujeto a CC BY-NC 4.0 y atribución.,mozart_sonata09_2_right_hand,acceptable,suitable,distinct,confirmed,unavailable,confirmed,permitted,permitted
item,smb-test-000004,smb-test-000004,,reviewed,Daniel Reinón García,2026-08-18,Revisión mediante auditoría automática completa y política muestral fijada; página procesada sin incidencia técnica y fuera de la muestra visual. Uso no comercial sujeto a CC BY-NC 4.0 y atribución.,beethoven_sonata11_4,acceptable,suitable,distinct,confirmed,unavailable,confirmed,permitted,permitted
item,smb-test-000005,smb-test-000005,,reviewed,Daniel Reinón García,2026-08-18,Revisión mediante auditoría automática completa y política muestral fijada; página procesada sin incidencia técnica y fuera de la muestra visual. Uso no comercial sujeto a CC BY-NC 4.0 y atribución.,beethoven_sonata11_4,acceptable,suitable,distinct,confirmed,unavailable,confirmed,permitted,permitted
item,smb-test-000006,smb-test-000006,,reviewed,Daniel Reinón García,2026-08-18,Mínimamente borrosa pero no significativamente,beethoven_sonata11_4,acceptable,suitable,distinct,confirmed,unavailable,confirmed,permitted,permitted
item,smb-test-000007,smb-test-000007,,reviewed,Daniel Reinón García,2026-08-18,Mínimamente borrosa pero no significativamente,beethoven_sonata11_4,acceptable,suitable,distinct,confirmed,unavailable,confirmed,permitted,permitted
item,smb-test-000008,smb-test-000008,,reviewed,Daniel Reinón García,2026-08-18,Revisión mediante auditoría automática completa y política muestral fijada; página procesada sin incidencia técnica y fuera de la muestra visual. Uso no comercial sujeto a CC BY-NC 4.0 y atribución.,beethoven_sonata11_4,acceptable,suitable,distinct,confirmed,unavailable,confirmed,permitted,permitted
item,smb-test-000009,smb-test-000009,,reviewed,Daniel Reinón García,2026-08-18,Revisión mediante auditoría automática completa y política muestral fijada; página procesada sin incidencia técnica y fuera de la muestra visual. Uso no comercial sujeto a CC BY-NC 4.0 y atribución.,beethoven_sonata11_4,acceptable,suitable,distinct,confirmed,unavailable,confirmed,permitted,permitted
item,smb-test-000010,smb-test-000010,,reviewed,Daniel Reinón García,2026-08-18,Revisión mediante auditoría automática completa y política muestral fijada; página procesada sin incidencia técnica y fuera de la muestra visual. Uso no comercial sujeto a CC BY-NC 4.0 y atribución.,beethoven_sonata11_4,acceptable,suitable,distinct,confirmed,unavailable,confirmed,permitted,permitted
item,smb-test-000011,smb-test-000011,,reviewed,Daniel Reinón García,2026-08-18,Revisión mediante auditoría automática completa y política muestral fijada; página procesada sin incidencia técnica y fuera de la muestra visual. Uso no comercial sujeto a CC BY-NC 4.0 y atribución.,beethoven_sonata11_4,acceptable,suitable,distinct,confirmed,unavailable,confirmed,permitted,permitted
item,smb-test-000012,smb-test-000012,,reviewed,Daniel Reinón García,2026-08-18,Revisión mediante auditoría automática completa y política muestral fijada; página procesada sin incidencia técnica y fuera de la muestra visual. Uso no comercial sujeto a CC BY-NC 4.0 y atribución.,beethoven_sonata11_4,acceptable,suitable,distinct,confirmed,unavailable,confirmed,permitted,permitted
item,smb-test-000013,smb-test-000013,,reviewed,Daniel Reinón García,2026-08-18,Revisión mediante auditoría automática completa y política muestral fijada; página procesada sin incidencia técnica y fuera de la muestra visual. Uso no comercial sujeto a CC BY-NC 4.0 y atribución.,haydn_op76n6_04,acceptable,suitable,distinct,confirmed,unavailable,confirmed,permitted,permitted
item,smb-test-000014,smb-test-000014,,reviewed,Daniel Reinón García,2026-08-18,Revisión mediante auditoría automática completa y política muestral fijada; página procesada sin incidencia técnica y fuera de la muestra visual. Uso no comercial sujeto a CC BY-NC 4.0 y atribución.,haydn_op76n6_04,acceptable,suitable,distinct,confirmed,unavailable,confirmed,permitted,permitted
item,smb-test-000015,smb-test-000015,,reviewed,Daniel Reinón García,2026-08-18,Revisión mediante auditoría automática completa y política muestral fijada; página procesada sin incidencia técnica y fuera de la muestra visual. Uso no comercial sujeto a CC BY-NC 4.0 y atribución.,haydn_op76n6_04,acceptable,suitable,distinct,confirmed,unavailable,confirmed,permitted,permitted
item,smb-test-000016,smb-test-000016,,reviewed,Daniel Reinón García,2026-08-18,Revisión mediante auditoría automática completa y política muestral fijada; página procesada sin incidencia técnica y fuera de la muestra visual. Uso no comercial sujeto a CC BY-NC 4.0 y atribución.,haydn_op76n6_04,acceptable,suitable,distinct,confirmed,unavailable,confirmed,permitted,permitted
item,smb-test-000017,smb-test-000017,,reviewed,Daniel Reinón García,2026-08-18,Revisión mediante auditoría automática completa y política muestral fijada; página procesada sin incidencia técnica y fuera de la muestra visual. Uso no comercial sujeto a CC BY-NC 4.0 y atribución.,haydn_op76n6_04,acceptable,suitable,distinct,confirmed,unavailable,confirmed,permitted,permitted
item,smb-test-000018,smb-test-000018,,reviewed,Daniel Reinón García,2026-08-18,Revisión mediante auditoría automática completa y política muestral fijada; página procesada sin incidencia técnica y fuera de la muestra visual. Uso no comercial sujeto a CC BY-NC 4.0 y atribución.,haydn_op76n6_04,acceptable,suitable,distinct,confirmed,unavailable,confirmed,permitted,permitted
item,smb-test-000019,smb-test-000019,,reviewed,Daniel Reinón García,2026-08-18,Revisión mediante auditoría automática completa y política muestral fijada; página procesada sin incidencia técnica y fuera de la muestra visual. Uso no comercial sujeto a CC BY-NC 4.0 y atribución.,haydn_op76n6_04,acceptable,suitable,distinct,confirmed,unavailable,confirmed,permitted,permitted
item,smb-test-000020,smb-test-000020,,reviewed,Daniel Reinón García,2026-08-18,"Revisión visual por lote de la muestra fijada: legibilidad, contraste y procesabilidad adecuados; no se observó una anomalía material.",mozart_sonata11_3_left_hand,acceptable,suitable,distinct,confirmed,unavailable,confirmed,permitted,permitted
item,smb-test-000021,smb-test-000021,,reviewed,Daniel Reinón García,2026-08-18,Revisión mediante auditoría automática completa y política muestral fijada; página procesada sin incidencia técnica y fuera de la muestra visual. Uso no comercial sujeto a CC BY-NC 4.0 y atribución.,mozart_sonata11_1g_left_hand,acceptable,suitable,distinct,confirmed,unavailable,confirmed,permitted,permitted
item,smb-test-000022,smb-test-000022,,reviewed,Daniel Reinón García,2026-08-18,Revisión mediante auditoría automática completa y política muestral fijada; página procesada sin incidencia técnica y fuera de la muestra visual. Uso no comercial sujeto a CC BY-NC 4.0 y atribución.,joplin_mapleleaf,acceptable,suitable,distinct,confirmed,unavailable,confirmed,permitted,permitted
item,smb-test-000023,smb-test-000023,,reviewed,Daniel Reinón García,2026-08-18,Revisión mediante auditoría automática completa y política muestral fijada; página procesada sin incidencia técnica y fuera de la muestra visual. Uso no comercial sujeto a CC BY-NC 4.0 y atribución.,joplin_mapleleaf,acceptable,suitable,distinct,confirmed,unavailable,confirmed,permitted,permitted
item,smb-test-000024,smb-test-000024,,reviewed,Daniel Reinón García,2026-08-18,Revisión mediante auditoría automática completa y política muestral fijada; página procesada sin incidencia técnica y fuera de la muestra visual. Uso no comercial sujeto a CC BY-NC 4.0 y atribución.,joplin_mapleleaf,acceptable,suitable,distinct,confirmed,unavailable,confirmed,permitted,permitted
item,smb-test-000025,smb-test-000025,,reviewed,Daniel Reinón García,2026-08-18,Revisión mediante auditoría automática completa y política muestral fijada; página procesada sin incidencia técnica y fuera de la muestra visual. Uso no comercial sujeto a CC BY-NC 4.0 y atribución.,mozart_rondo_in_f_fu-r_clavier_-_kv_533_114_left_hand,acceptable,suitable,distinct,confirmed,unavailable,confirmed,permitted,permitted
item,smb-test-000026,smb-test-000026,,reviewed,Daniel Reinón García,2026-08-18,Revisión mediante auditoría automática completa y política muestral fijada; página procesada sin incidencia técnica y fuera de la muestra visual. Uso no comercial sujeto a CC BY-NC 4.0 y atribución.,scarlatti_l336k093,acceptable,suitable,distinct,confirmed,unavailable,confirmed,permitted,permitted
item,smb-test-000027,smb-test-000027,,reviewed,Daniel Reinón García,2026-08-18,Revisión mediante auditoría automática completa y política muestral fijada; página procesada sin incidencia técnica y fuera de la muestra visual. Uso no comercial sujeto a CC BY-NC 4.0 y atribución.,scarlatti_l336k093,acceptable,suitable,distinct,confirmed,unavailable,confirmed,permitted,permitted
item,smb-test-000028,smb-test-000028,,reviewed,Daniel Reinón García,2026-08-18,"Revisión visual por lote de la muestra fijada: legibilidad, contraste y procesabilidad adecuados; no se observó una anomalía material.",scarlatti_l336k093,acceptable,suitable,distinct,confirmed,unavailable,confirmed,permitted,permitted
item,smb-test-000029,smb-test-000029,,reviewed,Daniel Reinón García,2026-08-18,Revisión mediante auditoría automática completa y política muestral fijada; página procesada sin incidencia técnica y fuera de la muestra visual. Uso no comercial sujeto a CC BY-NC 4.0 y atribución.,scarlatti_l336k093,acceptable,suitable,distinct,confirmed,unavailable,confirmed,permitted,permitted
item,smb-test-000030,smb-test-000030,,reviewed,Daniel Reinón García,2026-08-18,Revisión mediante auditoría automática completa y política muestral fijada; página procesada sin incidencia técnica y fuera de la muestra visual. Uso no comercial sujeto a CC BY-NC 4.0 y atribución.,scarlatti_l336k093,acceptable,suitable,distinct,confirmed,unavailable,confirmed,permitted,permitted
item,smb-test-000031,smb-test-000031,,reviewed,Daniel Reinón García,2026-08-18,Revisión mediante auditoría automática completa y política muestral fijada; página procesada sin incidencia técnica y fuera de la muestra visual. Uso no comercial sujeto a CC BY-NC 4.0 y atribución.,scarlatti_l336k093,acceptable,suitable,distinct,confirmed,unavailable,confirmed,permitted,permitted
item,smb-test-000032,smb-test-000032,,reviewed,Daniel Reinón García,2026-08-18,Revisión mediante auditoría automática completa y política muestral fijada; página procesada sin incidencia técnica y fuera de la muestra visual. Uso no comercial sujeto a CC BY-NC 4.0 y atribución.,haydn_op74n1_02,acceptable,suitable,distinct,confirmed,unavailable,confirmed,permitted,permitted
item,smb-test-000033,smb-test-000033,,reviewed,Daniel Reinón García,2026-08-18,Revisión mediante auditoría automática completa y política muestral fijada; página procesada sin incidencia técnica y fuera de la muestra visual. Uso no comercial sujeto a CC BY-NC 4.0 y atribución.,haydn_op74n1_02,acceptable,suitable,distinct,confirmed,unavailable,confirmed,permitted,permitted
item,smb-test-000034,smb-test-000034,,reviewed,Daniel Reinón García,2026-08-18,Revisión mediante auditoría automática completa y política muestral fijada; página procesada sin incidencia técnica y fuera de la muestra visual. Uso no comercial sujeto a CC BY-NC 4.0 y atribución.,haydn_op74n1_02,acceptable,suitable,distinct,confirmed,unavailable,confirmed,permitted,permitted
item,smb-test-000035,smb-test-000035,,reviewed,Daniel Reinón García,2026-08-18,Revisión mediante auditoría automática completa y política muestral fijada; página procesada sin incidencia técnica y fuera de la muestra visual. Uso no comercial sujeto a CC BY-NC 4.0 y atribución.,haydn_op74n1_02,acceptable,suitable,distinct,confirmed,unavailable,confirmed,permitted,permitted
item,smb-test-000036,smb-test-000036,,reviewed,Daniel Reinón García,2026-08-18,Revisión mediante auditoría automática completa y política muestral fijada; página procesada sin incidencia técnica y fuera de la muestra visual. Uso no comercial sujeto a CC BY-NC 4.0 y atribución.,haydn_op74n1_02,acceptable,suitable,distinct,confirmed,unavailable,confirmed,permitted,permitted
item,smb-test-000037,smb-test-000037,,reviewed,Daniel Reinón García,2026-08-18,Revisión mediante auditoría automática completa y política muestral fijada; página procesada sin incidencia técnica y fuera de la muestra visual. Uso no comercial sujeto a CC BY-NC 4.0 y atribución.,haydn_op74n1_02,acceptable,suitable,distinct,confirmed,unavailable,confirmed,permitted,permitted
item,smb-test-000038,smb-test-000038,,reviewed,Daniel Reinón García,2026-08-18,"Revisión visual por lote de la muestra fijada: legibilidad, contraste y procesabilidad adecuados; no se observó una anomalía material.",joplin_binks,acceptable,suitable,distinct,confirmed,unavailable,confirmed,permitted,permitted
item,smb-test-000039,smb-test-000039,,reviewed,Daniel Reinón García,2026-08-18,Revisión mediante auditoría automática completa y política muestral fijada; página procesada sin incidencia técnica y fuera de la muestra visual. Uso no comercial sujeto a CC BY-NC 4.0 y atribución.,joplin_binks,acceptable,suitable,distinct,confirmed,unavailable,confirmed,permitted,permitted
item,smb-test-000040,smb-test-000040,,reviewed,Daniel Reinón García,2026-08-18,Revisión mediante auditoría automática completa y política muestral fijada; página procesada sin incidencia técnica y fuera de la muestra visual. Uso no comercial sujeto a CC BY-NC 4.0 y atribución.,joplin_binks,acceptable,suitable,distinct,confirmed,unavailable,confirmed,permitted,permitted
item,smb-test-000041,smb-test-000041,,reviewed,Daniel Reinón García,2026-08-18,"Revisión visual por lote de la muestra fijada: legibilidad, contraste y procesabilidad adecuados; no se observó una anomalía material.",joplin_binks,acceptable,suitable,distinct,confirmed,unavailable,confirmed,permitted,permitted
item,smb-test-000042,smb-test-000042,,reviewed,Daniel Reinón García,2026-08-18,Revisión mediante auditoría automática completa y política muestral fijada; página procesada sin incidencia técnica y fuera de la muestra visual. Uso no comercial sujeto a CC BY-NC 4.0 y atribución.,joplin_binks,acceptable,suitable,distinct,confirmed,unavailable,confirmed,permitted,permitted
item,smb-test-000043,smb-test-000043,,reviewed,Daniel Reinón García,2026-08-18,Revisión mediante auditoría automática completa y política muestral fijada; página procesada sin incidencia técnica y fuera de la muestra visual. Uso no comercial sujeto a CC BY-NC 4.0 y atribución.,joplin_binks,acceptable,suitable,distinct,confirmed,unavailable,confirmed,permitted,permitted
item,smb-test-000044,smb-test-000044,,reviewed,Daniel Reinón García,2026-08-18,Revisión mediante auditoría automática completa y política muestral fijada; página procesada sin incidencia técnica y fuera de la muestra visual. Uso no comercial sujeto a CC BY-NC 4.0 y atribución.,mozart_quartett_in_d_-_kv_575,acceptable,suitable,distinct,confirmed,unavailable,confirmed,permitted,permitted
item,smb-test-000045,smb-test-000045,,reviewed,Daniel Reinón García,2026-08-18,Revisión mediante auditoría automática completa y política muestral fijada; página procesada sin incidencia técnica y fuera de la muestra visual. Uso no comercial sujeto a CC BY-NC 4.0 y atribución.,mozart_quartett_in_d_-_kv_575,acceptable,suitable,distinct,confirmed,unavailable,confirmed,permitted,permitted
item,smb-test-000046,smb-test-000046,,reviewed,Daniel Reinón García,2026-08-18,Revisión mediante auditoría automática completa y política muestral fijada; página procesada sin incidencia técnica y fuera de la muestra visual. Uso no comercial sujeto a CC BY-NC 4.0 y atribución.,mozart_quartett_in_d_-_kv_575,acceptable,suitable,distinct,confirmed,unavailable,confirmed,permitted,permitted
item,smb-test-000047,smb-test-000047,,reviewed,Daniel Reinón García,2026-08-18,Revisión mediante auditoría automática completa y política muestral fijada; página procesada sin incidencia técnica y fuera de la muestra visual. Uso no comercial sujeto a CC BY-NC 4.0 y atribución.,mozart_quartett_in_d_-_kv_575,acceptable,suitable,distinct,confirmed,unavailable,confirmed,permitted,permitted
item,smb-test-000048,smb-test-000048,,reviewed,Daniel Reinón García,2026-08-18,Revisión mediante auditoría automática completa y política muestral fijada; página procesada sin incidencia técnica y fuera de la muestra visual. Uso no comercial sujeto a CC BY-NC 4.0 y atribución.,mozart_quartett_in_d_-_kv_575,acceptable,suitable,distinct,confirmed,unavailable,confirmed,permitted,permitted
item,smb-test-000049,smb-test-000049,,reviewed,Daniel Reinón García,2026-08-18,Revisión mediante auditoría automática completa y política muestral fijada; página procesada sin incidencia técnica y fuera de la muestra visual. Uso no comercial sujeto a CC BY-NC 4.0 y atribución.,mozart_quartett_in_d_-_kv_575,acceptable,suitable,distinct,confirmed,unavailable,confirmed,permitted,permitted
item,smb-test-000050,smb-test-000050,,reviewed,Daniel Reinón García,2026-08-18,Revisión mediante auditoría automática completa y política muestral fijada; página procesada sin incidencia técnica y fuera de la muestra visual. Uso no comercial sujeto a CC BY-NC 4.0 y atribución.,mozart_quartett_in_d_-_kv_575,acceptable,suitable,distinct,confirmed,unavailable,confirmed,permitted,permitted
item,smb-test-000051,smb-test-000051,,reviewed,Daniel Reinón García,2026-08-18,"Revisión visual por lote de la muestra fijada: legibilidad, contraste y procesabilidad adecuados; no se observó una anomalía material.",mozart_quartett_in_d_-_kv_575,acceptable,suitable,distinct,confirmed,unavailable,confirmed,permitted,permitted
item,smb-test-000052,smb-test-000052,,reviewed,Daniel Reinón García,2026-08-18,Revisión mediante auditoría automática completa y política muestral fijada; página procesada sin incidencia técnica y fuera de la muestra visual. Uso no comercial sujeto a CC BY-NC 4.0 y atribución.,mozart_quartett_in_d_-_kv_575,acceptable,suitable,distinct,confirmed,unavailable,confirmed,permitted,permitted
item,smb-test-000053,smb-test-000053,,reviewed,Daniel Reinón García,2026-08-18,Revisión mediante auditoría automática completa y política muestral fijada; página procesada sin incidencia técnica y fuera de la muestra visual. Uso no comercial sujeto a CC BY-NC 4.0 y atribución.,mozart_sonata15_2_left_hand,acceptable,suitable,distinct,confirmed,unavailable,confirmed,permitted,permitted
item,smb-test-000054,smb-test-000054,,reviewed,Daniel Reinón García,2026-08-18,Revisión mediante auditoría automática completa y política muestral fijada; página procesada sin incidencia técnica y fuera de la muestra visual. Uso no comercial sujeto a CC BY-NC 4.0 y atribución.,scarlatti_l056k281,acceptable,suitable,distinct,confirmed,unavailable,confirmed,permitted,permitted
item,smb-test-000055,smb-test-000055,,reviewed,Daniel Reinón García,2026-08-18,Revisión mediante auditoría automática completa y política muestral fijada; página procesada sin incidencia técnica y fuera de la muestra visual. Uso no comercial sujeto a CC BY-NC 4.0 y atribución.,scarlatti_l056k281,acceptable,suitable,distinct,confirmed,unavailable,confirmed,permitted,permitted
item,smb-test-000056,smb-test-000056,,reviewed,Daniel Reinón García,2026-08-18,Revisión mediante auditoría automática completa y política muestral fijada; página procesada sin incidencia técnica y fuera de la muestra visual. Uso no comercial sujeto a CC BY-NC 4.0 y atribución.,scarlatti_l056k281,acceptable,suitable,distinct,confirmed,unavailable,confirmed,permitted,permitted
item,smb-test-000057,smb-test-000057,,reviewed,Daniel Reinón García,2026-08-18,Revisión mediante auditoría automática completa y política muestral fijada; página procesada sin incidencia técnica y fuera de la muestra visual. Uso no comercial sujeto a CC BY-NC 4.0 y atribución.,mozart_sonata10_1_left_hand,acceptable,suitable,distinct,confirmed,unavailable,confirmed,permitted,permitted
item,smb-test-000058,smb-test-000058,,reviewed,Daniel Reinón García,2026-08-18,Revisión mediante auditoría automática completa y política muestral fijada; página procesada sin incidencia técnica y fuera de la muestra visual. Uso no comercial sujeto a CC BY-NC 4.0 y atribución.,joplin_augustan,acceptable,suitable,distinct,confirmed,unavailable,confirmed,permitted,permitted
item,smb-test-000059,smb-test-000059,,reviewed,Daniel Reinón García,2026-08-18,"Revisión visual por lote de la muestra fijada: legibilidad, contraste y procesabilidad adecuados; no se observó una anomalía material.",joplin_augustan,acceptable,suitable,distinct,confirmed,unavailable,confirmed,permitted,permitted
item,smb-test-000060,smb-test-000060,,reviewed,Daniel Reinón García,2026-08-18,Revisión mediante auditoría automática completa y política muestral fijada; página procesada sin incidencia técnica y fuera de la muestra visual. Uso no comercial sujeto a CC BY-NC 4.0 y atribución.,joplin_augustan,acceptable,suitable,distinct,confirmed,unavailable,confirmed,permitted,permitted
item,smb-test-000061,smb-test-000061,,reviewed,Daniel Reinón García,2026-08-18,Revisión mediante auditoría automática completa y política muestral fijada; página procesada sin incidencia técnica y fuera de la muestra visual. Uso no comercial sujeto a CC BY-NC 4.0 y atribución.,joplin_augustan,acceptable,suitable,distinct,confirmed,unavailable,confirmed,permitted,permitted
item,smb-test-000062,smb-test-000062,,reviewed,Daniel Reinón García,2026-08-18,Revisión mediante auditoría automática completa y política muestral fijada; página procesada sin incidencia técnica y fuera de la muestra visual. Uso no comercial sujeto a CC BY-NC 4.0 y atribución.,mozart_sonate_in_f_-_kv_332_29_left_hand,acceptable,suitable,distinct,confirmed,unavailable,confirmed,permitted,permitted
