"upstream_index","item_id","source_group_id","processing_status","audit_sample_member"
"6","smb-test-000006","beethoven_sonata11_4_p2","processed","True"
"7","smb-test-000007","beethoven_sonata11_4_p3","processed","True"
"20","smb-test-000020","mozart_sonata11_3_left_hand_p0","processed","True"
"28","smb-test-000028","scarlatti_l336k093_p2","processed","True"
"38","smb-test-000038","joplin_binks_p0","processed","True"
"41","smb-test-000041","joplin_binks_p3","processed","True"
"51","smb-test-000051","mozart_quartett_in_d_-_kv_575_p7","processed","True"
"59","smb-test-000059","joplin_augustan_p1","processed","True"
"65","smb-test-000065","mozart_sonata14_2_p2","processed","True"
"66","smb-test-000066","mozart_sonata14_2_p3","processed","True"
"75","smb-test-000075","beethoven_sonata11_1_p8","processed","True"
"93","smb-test-000093","scarlatti_l267k052_p0","processed","True"
"97","smb-test-000097","beethoven_sonata17_1_p0","processed","True"
"112","smb-test-000112","haydn_sonata03_4_p3","processed","True"
"116","smb-test-000116","haydn_sonata03_4_p7","processed","True"
"144","smb-test-000144","mozart_quartett_in_c_-_kv_157_41_right_hand_p0","processed","True"
"146","smb-test-000146","beethoven_sonata23_3_p0","processed","True"
"171","smb-test-000171","mozart_viennese6_2_p0","processed","True"
"174","smb-test-000174","scarlatti_l348k244_p1","processed","True"
"177","smb-test-000177","joplin_searchlight_p2","processed","True"
"209","smb-test-000209","chopin_mazurka06_3_p1","processed","True"
"246","smb-test-000246","beethoven_sonata08_3_p5","processed","True"
"266","smb-test-000266","mozart_divertimento_in_f_-_kv_138_33_right_hand_p0","processed","True"
"272","smb-test-000272","mozart_sonata11_1b_p1","processed","True"
"278","smb-test-000278","mozart_sonata16_3_p1","processed","True"
"287","smb-test-000287","mozart_sonata17_1_left_hand_p0","processed","True"
"295","smb-test-000295","haydn_op74n2_01_p6","processed","True"
"304","smb-test-000304","mozart_sonata09_3_p3","processed","True"
"317","smb-test-000317","haydn_erk136a_p1","processed","True"
"323","smb-test-000323","beethoven_sonata07_4_p2","processed","True"
"341","smb-test-000341","beethoven_sonata01_2_p2","processed","True"
"356","smb-test-000356","scarlatti_l064k148_p0","processed","True"
"363","smb-test-000363","mozart_erk024_p0","processed","True"
"371","smb-test-000371","scarlatti_l003k502_p1","processed","True"
"411","smb-test-000411","beethoven_sonata02_1_p4","processed","True"
"413","smb-test-000413","beethoven_sonata02_1_p6","processed","True"
"415","smb-test-000415","weber_erk113_p0","processed","True"
"416","smb-test-000416","weber_erk113_p1","processed","True"
"468","smb-test-000468","mozart_quartett_in_b_-_kv_458_p9","processed","True"
"470","smb-test-000470","mozart_quartett_in_b_-_kv_458_p11","processed","True"
"474","smb-test-000474","joplin_nonpareil_p3","processed","True"
"492","smb-test-000492","liszt_etude10_05_p3","processed","True"
"501","smb-test-000501","beethoven_sonata05_1_p1","processed","True"
"513","smb-test-000513","mozart_quartett_in_a_-_kv_169_p1","processed","True"
"519","smb-test-000519","mozart_sonata10_3_left_hand_p0","processed","True"
"524","smb-test-000524","mozart_sonata15_2_right_hand_p0","processed","True"
"527","smb-test-000527","haydn_op76n1_02_p0","processed","True"
"530","smb-test-000530","haydn_op76n1_02_p3","processed","True"
"531","smb-test-000531","haydn_op76n1_02_p4","processed","True"
"540","smb-test-000540","beethoven_sonata13_1_p1","processed","True"
"561","smb-test-000561","scarlatti_l481k025_p0","processed","True"
"564","smb-test-000564","scarlatti_l481k025_p3","processed","True"
"571","smb-test-000571","joplin_leola_p3","processed","True"
"573","smb-test-000573","mozart_sonata05_3_right_hand_p0","processed","True"
"579","smb-test-000579","haydn_sonata16_2_p0","processed","True"
"585","smb-test-000585","beethoven_sonata21_1_p4","processed","True"
"593","smb-test-000593","beethoven_sonata21_1_p12","processed","True"
"618","smb-test-000618","mozart_sonata02_1_p3","processed","True"
"628","smb-test-000628","mozart_serenade_in_g_-_kv_525_p6","processed","True"
"629","smb-test-000629","mozart_sonata02_2_left_hand_p0","processed","True"
"640","smb-test-000640","beethoven_sonata28_4_p4","processed","True"
"646","smb-test-000646","beethoven_sonata22_2_p0","processed","True"
"653","smb-test-000653","mozart_sonata15_1_p1","processed","True"
"683","smb-test-000683","beethoven_sonata10_3_p4","processed","True"
