evidence_id,full_reference,year,source_type,problem,domain,data,degradation,scale,method,metrics,reported_results,limitations,code_url,checkpoint_identity,licence,relevance_to_tfg,doi_or_official_url,verification_date,screening_status,notes
EVID-KEYS-1981,"Keys, R. G. (1981). Cubic Convolution Interpolation for Digital Image Processing. IEEE Transactions on Acoustics Speech and Signal Processing 29(6), 1153-1160.",1981,primary_paper,Resampling discrete image data,generic image processing,Analytical functions and image examples,Sampling and interpolation,continuous resampling,Cubic convolution kernel,Approximation order and convergence analysis,"Derives a separable cubic-convolution interpolation whose approximation order lies between linear interpolation and cubic splines under the stated conditions.",It is an interpolation analysis rather than learned SR and does not evaluate document or notation semantics.,not_applicable,not_applicable,paper:IEEE copyright;code:not_applicable,Defines the transparent bicubic baseline family but cannot establish score fidelity on its own.,https://doi.org/10.1109/TASSP.1981.1163711,2026-08-18,included,coverage_layers=classical_interpolation|fidelity_sr;metadata=verified_primary;interpretation=project
EVID-SRCNN-2015,"Dong, C., Loy, C. C., He, K., and Tang, X. (2015). Image Super-Resolution Using Deep Convolutional Networks. IEEE Transactions on Pattern Analysis and Machine Intelligence 38(2), 295-307.",2015,primary_paper,Single-image super-resolution,natural images,"Set5, Set14, and BSD200",Bicubic-downsampled paired images,"2x, 3x, 4x",End-to-end three-layer convolutional network,"PSNR, SSIM, IFC, runtime","Reports improved reconstruction quality over contemporary example-based methods and a direct end-to-end CNN mapping.",Uses small natural-image benchmarks and synthetic bicubic degradation; no document or score-semantic evaluation.,http://mmlab.ie.cuhk.edu.hk/projects/SRCNN.html,not_reported,paper:IEEE copyright;code:licence_not_reported_on_official_page,Establishes the CNN foundation and the limits of bicubic-trained natural-image evidence.,https://doi.org/10.1109/TPAMI.2015.2439281,2026-08-18,included,coverage_layers=cnn_foundation|controlled_degradation|fidelity_sr;metadata=verified_primary;interpretation=project
EVID-EDSR-2017,"Lim, B., Son, S., Kim, H., Nah, S., and Lee, K. M. (2017). Enhanced Deep Residual Networks for Single Image Super-Resolution. CVPR Workshops, 136-144.",2017,primary_paper,Single-image super-resolution,natural images,"DIV2K training; Set5, Set14, B100, Urban100 evaluation",Bicubic downsampling,"2x, 3x, 4x",Residual CNN without batch-normalization modules,"PSNR, SSIM, parameter count","Reports challenge-winning distortion-oriented performance and 34.78 dB / 0.9708 on the illustrated DIV2K 0853 4x example for EDSR+.",Primarily synthetic bicubic natural-image evidence; a figure-specific value is not a cross-dataset aggregate and no score semantics are tested.,https://github.com/sanghyun-son/EDSR-PyTorch,not_selected_or_verified,paper:CVF author copyright;code:MIT repository licence,Represents a residual fidelity-oriented family for later comparison criteria without selecting its weights.,https://openaccess.thecvf.com/content_cvpr_2017_workshops/w12/html/Lim_Enhanced_Deep_Residual_CVPR_2017_paper.html,2026-08-18,included,coverage_layers=cnn_foundation|controlled_degradation|fidelity_sr;metadata=verified_primary;interpretation=project
EVID-SRGAN-2017,"Ledig, C., Theis, L., Huszar, F., Caballero, J., Cunningham, A., Acosta, A., Aitken, A., Tejani, A., Totz, J., Wang, Z., and Shi, W. (2017). Photo-Realistic Single Image Super-Resolution Using a Generative Adversarial Network. CVPR, 4681-4690.",2017,primary_paper,Perceptual single-image super-resolution,natural images,"ImageNet training; Set5, Set14, BSD100 evaluation",Bicubic downsampling,4x,Residual generator with adversarial and VGG-feature content losses,"PSNR, SSIM, MOS","Reports MOS values closer to original high-resolution images than competing SR methods while acknowledging lower pixel-distortion scores than MSE-oriented solutions.",Human natural-image realism does not establish faithful recovery of notation; adversarial detail can be plausible without being source-correct.,not_reported,not_reported,paper:CVF author copyright;code:licence_not_reported,Introduces the perceptual-versus-pixel-fidelity tension that requires explicit semantic error checks.,https://openaccess.thecvf.com/content_cvpr_2017/html/Ledig_Photo-Realistic_Single_Image_CVPR_2017_paper.html,2026-08-18,included,coverage_layers=perceptual_sr|semantic_risk|controlled_degradation;metadata=verified_primary;interpretation=project
EVID-BLAU-2018,"Blau, Y., and Michaeli, T. (2018). The Perception-Distortion Tradeoff. CVPR, 6228-6237.",2018,primary_paper,Evaluation of image restoration,natural-image restoration,Analytical distributions and SR algorithm comparisons,General restoration operators,not_applicable,Theoretical perception-distortion analysis,"Distortion measures, discriminator-based perceptual quality","Proves a monotone perception-distortion boundary under the paper's definitions and proposes evaluating algorithms in the perception-distortion plane.",The theory does not define music-semantic correctness and its perceptual distribution criterion is not a substitute for notation-level review.,not_reported,not_applicable,paper:CVF author copyright;code:not_reported,Justifies complementary metrics and blocks claims that sharper or lower-distortion output is automatically safer.,https://openaccess.thecvf.com/content_cvpr_2018/html/Blau_The_Perception-Distortion_Tradeoff_CVPR_2018_paper.html,2026-08-18,included,coverage_layers=evaluation|perceptual_sr|semantic_risk;metadata=verified_primary;interpretation=project
EVID-ESRGAN-2018,"Wang, X., Yu, K., Wu, S., Gu, J., Liu, Y., Dong, C., Qiao, Y., and Loy, C. C. (2018). ESRGAN: Enhanced Super-Resolution Generative Adversarial Networks. ECCV Workshops.",2018,primary_paper,Perceptual single-image super-resolution,natural images,"DIV2K, Flickr2K, and PIRM-SR challenge data",Bicubic downsampling,4x,RRDB generator with relativistic adversarial and pre-activation perceptual losses,"Perceptual Index, PSNR, visual comparison","Reports first place in PIRM2018-SR challenge region 3 and improved perceptual quality over SRGAN.",The paper explicitly notes hallucinated details/artifacts in the predecessor; natural-image perceptual quality does not validate musical symbols.,https://github.com/xinntao/ESRGAN,not_selected_or_verified,paper:CVF author copyright;code:Apache-2.0 repository licence,Provides primary evidence that realistic texture generation carries artifact and hallucination concerns.,https://openaccess.thecvf.com/content_eccv_2018_workshops/w25/html/Wang_ESRGAN_Enhanced_Super-Resolution_Generative_Adversarial_Networks_ECCVW_2018_paper.html,2026-08-18,included,coverage_layers=perceptual_sr|semantic_risk|controlled_degradation;metadata=verified_primary;interpretation=project
EVID-SCORE-SR-2019,"Tran, M.-T., and Lee, G.-S. (2019). Super-resolution in Music Score Images by Instance Normalization. Smart Media Journal 8(4), 64-71.",2019,primary_paper,Super-resolution of music-score images,printed music scores,DeepScores,Low-resolution images paired to higher-resolution targets,4x,Residual CNN using instance normalization,Source reports comparative image-quality evaluation without accessible metric detail,"Reports that the proposed instance-normalized network outperforms the compared existing methods on DeepScores.",Accessible primary metadata does not expose full split protocol numeric table code weights or licence; one dataset and synthetic setup cannot establish broad professional validity.,not_reported,not_reported,paper:publisher copyright;code:licence_not_reported,Directly establishes prior score-image SR while motivating a more traceable and semantics-aware evaluation.,https://doi.org/10.30693/smj.2019.8.4.64,2026-08-18,included,coverage_layers=document_or_score|cnn_foundation|controlled_degradation;metadata=verified_primary_abstract;interpretation=project
EVID-SWINIR-2021,"Liang, J., Cao, J., Sun, G., Zhang, K., Van Gool, L., and Timofte, R. (2021). SwinIR: Image Restoration Using Swin Transformer. ICCV Workshops, 1833-1844.",2021,primary_paper,Image restoration and super-resolution,natural images,"DIV2K, Flickr2K, Set5, Set14, BSD100, Urban100, Manga109, and real-image sets",Classical bicubic plus real-world/noisy/compressed settings,"2x, 3x, 4x, 8x depending on task",Residual Swin Transformer blocks,"PSNR, SSIM, parameter count","Reports gains of up to 0.14-0.45 dB and parameter reductions up to 67% across the studied restoration tasks.",Task-dependent maxima are not one universal result; the work evaluates natural images rather than notation semantics.,https://github.com/JingyunLiang/SwinIR,not_selected_or_verified,paper:CVF author copyright;code:Apache-2.0 repository licence,Establishes windowed-transformer restoration evidence and both controlled and real-world task distinctions.,https://openaccess.thecvf.com/content/ICCV2021W/AIM/html/Liang_SwinIR_Image_Restoration_Using_Swin_Transformer_ICCVW_2021_paper.html,2026-08-18,included,coverage_layers=transformer_foundation|fidelity_sr|controlled_degradation|real_degradation;metadata=verified_primary;interpretation=project
EVID-REAL-ESRGAN-2021,"Wang, X., Xie, L., Dong, C., and Shan, Y. (2021). Real-ESRGAN: Training Real-World Blind Super-Resolution With Pure Synthetic Data. ICCV Workshops, 1905-1914.",2021,primary_paper,Blind real-world super-resolution,natural images,"DF2K and synthetic training pairs; multiple real image sets",Second-order blur resizing noise JPEG and ringing/overshoot simulation,4x,ESRGAN-derived generator with high-order degradation synthesis and U-Net discriminator,"Non-reference perceptual metrics and qualitative comparison","Reports superior visual performance over prior methods on the studied real datasets and provides on-the-fly pair synthesis.",No paired ground truth for much real-image evaluation and no document or music-semantic correctness analysis.,https://github.com/xinntao/Real-ESRGAN,not_selected_or_verified,paper:CVF author copyright;code:BSD-3-Clause repository licence,Shows why realistic degradation and ringing controls matter while marking blind perceptual SR as a high-risk contrast.,https://openaccess.thecvf.com/content/ICCV2021W/AIM/html/Wang_Real-ESRGAN_Training_Real-World_Blind_Super-Resolution_With_Pure_Synthetic_Data_ICCVW_2021_paper.html,2026-08-18,included,coverage_layers=real_degradation|perceptual_sr|semantic_risk;metadata=verified_primary;interpretation=project
EVID-HAT-2023,"Chen, X., Wang, X., Zhou, J., Qiao, Y., and Dong, C. (2023). Activating More Pixels in Image Super-Resolution Transformer. CVPR, 22367-22377.",2023,primary_paper,Single-image super-resolution,natural images,"ImageNet pre-training; DF2K and standard SR benchmarks",Bicubic downsampling,"2x, 3x, 4x",Hybrid channel window and overlapping cross-attention transformer,"PSNR, SSIM, attribution range, parameters, operations","Reports roughly 0.3-1.2 dB gains over prior state of the art in the paper's comparisons and wider utilized input regions under attribution analysis.",Large-scale pre-training and natural-image bicubic benchmarks do not establish score-domain behavior or executable suitability here.,https://github.com/XPixelGroup/HAT,not_selected_or_verified,paper:CVF author copyright;code:Apache-2.0 repository licence,Provides later transformer evidence for Phase 3 criteria without freezing a candidate or checkpoint.,https://openaccess.thecvf.com/content/CVPR2023/html/Chen_Activating_More_Pixels_in_Image_Super-Resolution_Transformer_CVPR_2023_paper.html,2026-08-18,included,coverage_layers=transformer_foundation|fidelity_sr|controlled_degradation;metadata=verified_primary;interpretation=project
